mile,lat,lon,nearest_main_m,main_Trail_Name,main_Corridor,main_Trail_ID,main_LandUnit_N,main_Manager_Na,main_Eng_Seg,main_Start_Seg,nearest_alt_m,alt_Trail_Name,alt_Corridor,alt_Trail_ID,alt_LandUnit_N,alt_Manager_Na,alt_Eng_Seg,alt_Start_Seg,canonical_section,segment,route
74.000,26.317227,-80.882708,41.1,Big Cypress-Seminole,Main,T161,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,42731.2,Okeechobee East,Eastern,T201,Lake Okeechobee,ACoE,North Side of Pahokee State Park,East side of S-3 Lock,,,
75.000,26.330005,-80.882077,8.9,Big Cypress-Seminole,Main,T161,Big Cypress Seminole Indian Reservation,Private,Join L-3 Canal Levee,Junction West Boundary Rd and CR833/Josie Billie Hwy,41360.4,Okeechobee East,Eastern,T201,Lake Okeechobee,ACoE,North Side of Pahokee State Park,East side of S-3 Lock,,,
76.000,26.341181,-80.889969,43.6,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,40320.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
77.000,26.352459,-80.899864,6.8,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,39271.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
78.000,26.363759,-80.909765,119.0,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,38257.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
79.000,26.375139,-80.919746,214.7,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,37276.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
80.000,26.386512,-80.929737,171.0,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,36341.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
81.000,26.397882,-80.939734,74.5,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,35455.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
82.000,26.410291,-80.946469,63.1,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,34394.6,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
83.000,26.424723,-80.946508,107.1,L3/L2 Canal Levee,Main,T612,L3/L2 Canal Levee,SFWMD,Join Canal Levee 2,Join L3 Canal Levee,32904.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
84.000,26.438917,-80.946647,87.0,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,31454.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
85.000,26.453130,-80.946831,27.8,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,30016.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
86.000,26.467295,-80.946866,45.3,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,28592.8,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
87.000,26.481764,-80.947067,3.6,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,27162.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
88.000,26.496235,-80.947341,21.1,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,25754.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
89.000,26.510673,-80.947604,80.6,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,24375.0,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
90.000,26.525144,-80.947875,39.3,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,23021.3,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
91.000,26.539614,-80.948197,9.2,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,21704.1,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
92.000,26.554084,-80.948516,21.3,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,20427.7,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
93.000,26.568553,-80.948861,7.6,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,19201.2,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
94.000,26.583024,-80.949151,1.9,L2 Canal Levee,Main,T621,L2 Canal Levee,SFWMD,"Cross CR 835, West",Leave L3 Canal Levee Segment,18029.5,Okeechobee West,Western,T689,Lake Okeechobee,ACoE,East Side of  S-310 Lock,West Side of S-3 Lock,,,
