route	needs_review	mile	id	lat	lon	corridor	segment_code	section_code	segment_name	section_name	include	notes
main-spine	0	67	ft-main-mi0067000	26.46012852	-80.94692172	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	68	ft-main-mi0068000	26.47429581	-80.94689053	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	69	ft-main-mi0069000	26.48876508	-80.94719274	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	70	ft-main-mi0070000	26.50323616	-80.94746641	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	71	ft-main-mi0071000	26.51766698	-80.9477685	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	72	ft-main-mi0072000	26.5321372	-80.94809451	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	73	ft-main-mi0073000	26.54660824	-80.94836956	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	74	ft-main-mi0074000	26.56107953	-80.94862999	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	75	ft-main-mi0075000	26.57555081	-80.94889048	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	76	ft-main-mi0076000	26.5900201	-80.94925816	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	77	ft-main-mi0077000	26.6044891	-80.94958448	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	78	ft-main-mi0078000	26.61895963	-80.94970225	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	79	ft-main-mi0079000	26.63339854	-80.94989536	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	80	ft-main-mi0080000	26.64787162	-80.94994788	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	81	ft-main-mi0081000	26.66234471	-80.95000041	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	82	ft-main-mi0082000	26.66730861	-80.93915965	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	83	ft-main-mi0083000	26.66738654	-80.92296392	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	84	ft-main-mi0084000	26.65678511	-80.91858194	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	85	ft-main-mi0085000	26.6531562	-80.9073418	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	86	ft-main-mi0086000	26.652634	-80.89152995	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	87	ft-main-mi0087000	26.65271201	-80.87533637	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	88	ft-main-mi0088000	26.65274726	-80.85914261	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	89	ft-main-mi0089000	26.65278306	-80.84294877	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	90	ft-main-mi0090000	26.65283144	-80.82675495	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	91	ft-main-mi0091000	26.66527145	-80.82133642	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	92	ft-main-mi0092000	26.67878251	-80.81571283	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	93	ft-main-mi0093000	26.69128546	-80.80780062	Main	southern	okeechobee_south	Southern	Okeechobee South	TRUE	
main-spine	0	94	ft-main-mi0094000	26.69838861	-80.81102611	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	95	ft-main-mi0095000	26.70208314	-80.82560473	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	96	ft-main-mi0096000	26.71297601	-80.8362727	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	97	ft-main-mi0097000	26.72386808	-80.84694272	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	98	ft-main-mi0098000	26.7319461	-80.86027182	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	99	ft-main-mi0099000	26.73909483	-80.8743618	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	100	ft-main-mi0100000	26.74555145	-80.88886636	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	101	ft-main-mi0101000	26.75209445	-80.90331943	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
main-spine	0	102	ft-main-mi0102000	26.7595754	-80.91719485	Western	southern	okeechobee_west	Southern	Okeechobee West	TRUE	
